Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,prediction,timestamp
719163,19,16.1,37.9,0.0,10.8,12.1,4,59.0,4,8,37.0,35.0,17.0,10.0,1013.1,1009.9,5.0,5.0,29.1,37.1,1,0,2025-01-28T14:46:53.769972
20250201,1,10.5,25.3,0.0,4.2,7.5,180,35.0,90,270,15.2,20.3,85.0,45.0,1012.0,1008.0,3.0,7.0,15.6,23.7,0,0,2025-02-02T20:49:25.909889
20250202,2,8.0,22.0,1.2,3.1,6.2,190,32.0,100,250,12.3,18.7,90.0,55.0,1013.0,1009.0,2.0,5.0,14.0,20.0,1,0,2025-02-02T20:51:51.630223
20250203,3,7.5,21.0,0.5,3.8,5.5,170,28.0,85,255,11.0,17.5,88.0,50.0,1014.0,1011.0,3.0,6.0,13.5,19.5,0,0,2025-02-02T20:51:57.981798
20250204,4,11.0,26.5,0.3,4.5,8.2,200,33.0,80,260,16.0,21.0,78.0,42.0,1010.0,1007.5,2.5,6.5,16.0,24.0,0,0,2025-02-02T21:07:49.270623
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,82.0,40.0,1011.0,1009.0,3.0,7.0,17.0,25.0,0,0,2025-02-02T21:07:57.102063
20250201,1,10.5,25.3,0.0,4.2,7.5,180,35.0,90,270,15.2,20.3,85.0,45.0,1012.0,1008.0,3.0,7.0,15.6,23.7,0,0,2025-02-02T21:33:56.501320
20250204,4,11.0,26.5,0.3,4.5,8.2,200,33.0,80,260,16.0,21.0,78.0,42.0,1010.0,1007.5,2.5,6.5,16.0,24.0,0,0,2025-02-02T21:34:02.509608
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,82.0,40.0,1011.0,1009.0,3.0,7.0,17.0,25.0,0,0,2025-02-02T21:34:09.411145
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,82.0,45.0,1011.0,1009.0,3.0,7.0,17.0,27.0,0,0,2025-02-02T21:35:40.338379
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,82.0,75.0,1011.0,1009.0,3.0,7.0,17.0,22.0,0,0,2025-02-02T21:36:18.183241
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,82.0,80.0,1011.0,1009.0,3.0,7.0,17.0,19.0,0,1,2025-02-02T21:36:43.914667
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,82.0,82.0,1011.0,1009.0,3.0,7.0,17.0,18.0,0,1,2025-02-02T21:37:00.983934
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,82.0,70.0,1011.0,1009.0,3.0,7.0,17.0,27.0,0,0,2025-02-02T21:37:24.033448
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,70.0,40.0,1011.0,1009.0,3.0,7.0,17.0,20.0,0,0,2025-02-02T21:38:39.487248
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,75.0,40.0,1011.0,1009.0,3.0,7.0,17.0,18.0,0,0,2025-02-02T21:39:01.613827
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,90.0,40.0,1011.0,1009.0,3.0,7.0,17.0,25.0,0,0,2025-02-02T21:39:29.524675
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,71.0,40.0,1011.0,1009.0,3.0,7.0,17.0,30.0,0,0,2025-02-02T21:39:58.187894
20250205,5,12.0,27.0,0.1,4.0,9.0,210,36.0,70,250,17.5,22.0,75.0,40.0,1011.0,1009.0,3.0,7.0,17.0,21.0,0,0,2025-02-02T21:40:20.092434
20250206,3,9.3,21.8,1.3,4.5,11.0,203,30.8,316,74,20.7,23.5,65.2,44.0,1018.1,1000.8,3.8,4.4,14.5,25.2,0,1,2025-02-02T21:53:08.210177
20250207,2,11.1,29.9,1.7,4.2,10.1,9,32.2,192,22,10.0,10.1,70.2,52.8,1004.0,1019.1,1.5,9.8,7.3,27.2,0,0,2025-02-02T21:53:09.348386
20250208,7,11.8,26.7,0.7,4.2,11.4,208,40.0,244,351,8.6,28.3,73.2,61.9,1024.5,1011.9,2.4,9.8,5.8,27.8,0,1,2025-02-02T21:53:10.464386
20250209,8,11.0,21.5,1.6,4.6,10.4,128,48.1,231,73,21.4,14.0,61.4,39.1,1019.0,1018.8,1.5,0.2,15.0,16.4,0,0,2025-02-02T21:53:11.639898
20250210,6,7.1,27.4,1.5,3.8,11.5,244,45.8,147,209,12.8,18.5,83.3,30.8,1007.4,1016.7,8.9,1.4,7.8,20.6,0,0,2025-02-02T21:53:12.824928
20250211,7,5.6,21.3,1.6,5.4,11.0,252,21.9,212,198,14.4,11.5,50.1,41.6,1004.4,1016.4,7.4,5.7,6.0,15.1,0,0,2025-02-02T21:53:14.022173
20250212,9,9.1,21.4,0.2,3.4,7.2,134,35.0,88,85,17.2,18.6,50.3,66.4,1009.8,1004.8,3.8,1.1,19.0,18.7,1,0,2025-02-02T21:53:15.172288
20250213,1,9.5,23.3,0.8,4.6,5.1,248,49.3,212,166,19.4,12.9,85.2,69.3,1006.1,1006.1,1.8,9.2,7.2,19.5,0,1,2025-02-02T21:53:16.267108
20250214,6,9.5,29.7,0.1,4.7,5.4,257,34.4,110,88,21.6,27.9,40.4,40.1,1012.9,1019.5,5.1,4.5,9.7,20.1,0,0,2025-02-02T21:53:17.469328
